Mon May  3 17:11:59 2021    C:\Users\piyus\AppData\Local\Programs\Python\Python38\output.prof

         193221 function calls (189531 primitive calls) in 0.593 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\multiarray.py:990(unravel_index)
       81    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
      340    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unravel_index)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\numeric.py:1816(isscalar)
       16    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\shape_base.py:20(_atleast_1d_dispatcher)
       16    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\shape_base.py:24(atleast_1d)
       77    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\shape_base.py:208(_arrays_for_stack_dispatcher)
       16    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\shape_base.py:219(_vhstack_dispatcher)
       16    0.000    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\shape_base.py:286(hstack)
      132    0.001    0.000    0.005    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:39(_wrapit)
1236/1235    0.001    0.000    0.007    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_asarray.py:14(asarray)
      609    0.001    0.000    0.003    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\_asarray.py:86(asanyarray)
      274    0.001    0.000    0.007    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
     1422    0.001    0.000    0.001    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
     1422    0.005    0.000    0.016    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
       88    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:194(_reshape_dispatcher)
       88    0.000    0.000    0.002    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:199(reshape)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:835(_sort_dispatcher)
        1    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:839(sort)
       42    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:1812(_nonzero_dispatcher)
       42    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:1816(nonzero)
       42    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2029(_clip_dispatcher)
       42    0.000    0.000    0.004    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2033(clip)
      156    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2245(_any_dispatcher)
      156    0.000    0.000    0.003    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2249(any)
       17    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2333(_all_dispatcher)
       17    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2337(all)
        2    0.000    0.000    0.000    0.000 c:\users\piyus\appdata\local\programs\python\python38\lib\site-packages\numpy\core\fromnumeric.py:2414(_cumsum_dispatcher)
